date,ridership,temperature,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,Lolla,marathon,thanksgiving,christmas
1/1/2019,12492,31.5,1,,,,,,1,,,,,,
1/2/2019,17693,29.5,1,,,,,,,,,,,,
1/3/2019,17565,33,1,,,,,,,,,,,,
1/4/2019,17006,41,,,,,,,,,,,,,
1/5/2019,11537,42,,,,,,,,,,,,,
1/6/2019,11702,39.5,,,,,,,,,,,,,
1/7/2019,16630,48,,,,,,,,,,,,,
1/8/2019,16114,36.5,,,,,,,,,,,,,
1/9/2019,16488,21.5,,,,,,,,,,,,,
1/10/2019,17538,20,,,,,,,,,,,,,
1/11/2019,17246,26.5,,,,,,,,,,,,,
1/12/2019,10549,31,,,,,,,,,,,,,
1/13/2019,10983,29.5,,,,,,,,,,,,,
1/14/2019,17282,24.5,,,,,,,,,,,,,
1/15/2019,16234,29,,,,,,,,,,,,,
1/16/2019,16226,32,,,,,,,,,,,,,
1/17/2019,17330,32.5,,,,,,,,,,,,,
1/18/2019,19616,30.5,,,,,,,,,,,,,
1/19/2019,9260,22,,,,,,,,,,,,,
1/20/2019,10224,12.5,,,,,,,,,,,,,
1/21/2019,14381,11.5,,,,,,,,,,,,,
1/22/2019,16435,24.5,,,,,,,,,,,,,
1/23/2019,16775,28,,,,,,,,,,,,,
1/24/2019,16387,13,,,,,,,,,,,,,
1/25/2019,15432,1,,,,,,,,,,,,,
1/26/2019,8999,4,,,,,,,,,,,,,
1/27/2019,10280,5,,,,,,,,,,,,,
1/28/2019,14829,22,,,,,,,,,,,,,
1/29/2019,13951,1,,,,,,,,,,,,,
1/30/2019,5077,-15.5,,,,,,,,,,,,,
1/31/2019,8362,-9,,,,,,,,,,,,,
2/1/2019,16578,11.5,,,,,,,,,,,,,
2/2/2019,9835,28,,,,,,,,,,,,,
2/3/2019,10404,43.5,,,,,,,,,,,,,
2/4/2019,18042,40.5,,,,,,,,,,,,,
2/5/2019,15919,30.5,,,,,,,,,,,,,
2/6/2019,16601,35.5,,,,,,,,,,,,,
2/7/2019,17343,28.5,,,,,,,,,,,,,
2/8/2019,17006,10,,,,,,,,,,,,,
2/9/2019,9725,16.5,,,,,,,,,,,,,
2/10/2019,10732,26,,,,,,,,,,,,,
2/11/2019,17647,30.5,,,,,,,,,,,,,
2/12/2019,15849,27,,,,,,,,,,,,,
2/13/2019,16467,21.5,,,,,,,,,,,,,
2/14/2019,18576,38,,,,,,,,,,,,,
2/15/2019,19114,22,,,,,,,,,,,,,
2/16/2019,10828,24,,,,,,,,,,,,,
2/17/2019,9327,27,,,,,,,,,,,,,
2/18/2019,16833,26.5,,,,,,,,,,,,,
2/19/2019,17766,23.5,,,,,,,,,,,,,
2/20/2019,16246,33,,,,,,,,,,,,,
2/21/2019,18403,30.5,,,,,,,,,,,,,
2/22/2019,18339,30.5,,,,,,,,,,,,,
2/23/2019,9848,42,,,,,,,,,,,,,
2/24/2019,10673,30,,,,,,,,,,,,,
2/25/2019,17827,15.5,,,,,,,,,,,,,
2/26/2019,16303,21.5,,,,,,,,,,,,,
2/27/2019,16465,24.5,,,,,,,,,,,,,
2/28/2019,17571,20.5,,,,,,,,,,,,,
3/1/2019,18433,29.5,,,,,,,,,,,,,
3/2/2019,10871,31.5,,,,,,,,,,,,,
3/3/2019,11600,17,,,,,,,,,,,,,
3/4/2019,16845,6.5,,,,,,,,,,,,,
3/5/2019,16539,15.5,,,,,,,,,,,,,
3/6/2019,16872,21,,,,,,,,,,,,,
3/7/2019,17928,22,,,,,,,,,,,,,
3/8/2019,18633,31,,,,,,,,,,,,,
3/9/2019,11093,36.5,,,,,,,,,,,,,
3/10/2019,11750,34.5,,,,,,,,,,,,,
3/11/2019,18779,35.5,,,,,,,,,,,,,
3/12/2019,15985,37.5,,,,,,,,,,,,,
3/13/2019,17298,51,,,,,,,,,,,,,
3/14/2019,19800,52,,,,,,,,,,,,,
3/15/2019,23962,36,,,,,,,,,,,,,
3/16/2019,14625,36,,,,,,,,,,,,,
3/17/2019,12226,37,,,,,,,,,,,,,
3/18/2019,19075,36.5,,,,,,,,,,,,,
3/19/2019,17371,40,,,,,,,,,,,,,
3/20/2019,17443,42.5,,,,,,,,,,,,,
3/21/2019,18967,41.5,,,,,,,,,,,,,
3/22/2019,19466,39,,,,,,,,,,,,,
3/23/2019,12400,40,1,,,,,,,,,,,,
3/24/2019,12468,43.5,,,,,,,,,,,,,
3/25/2019,18286,36.5,,,,,,,,,,,,,
3/26/2019,17241,36.5,,,,,,,,,,,,,
3/27/2019,17927,45,,,,,,,,,,,,,
3/28/2019,18528,49.5,,,,,,,,,,,,,
3/29/2019,18973,47,,,,,,,,,,,,,
3/30/2019,11023,37.5,,,,,,,,,,,,,
3/31/2019,12323,32,,,,,,,,,,,,,
4/1/2019,19587,38,,,,,,,,,,,,,
4/2/2019,18333,47.5,,,,,,,,,,,,,
4/3/2019,18989,48,,,,,,,,,,,,,
4/4/2019,20279,44,,,,,,,,,,,,,
4/5/2019,20468,49,,,,,,,,,,,,,
4/6/2019,12049,53,,,,,,,,,,,,,
4/7/2019,13113,61.5,,,,,,,,,,,,,
4/8/2019,21046,63.5,,,,,,,,,,,,,
4/9/2019,18963,54.5,,,,,,,,,,,,,
4/10/2019,16590,39,,,,,,,,,,,,,
4/11/2019,20179,50,,,,,,,,,,,,,
