date,ridership,temperature,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,suenos_attendance,lo_attendance,taste_attendance,ma_attendance,ts_attendance,nas_attendance,newyeareve,thanksgivingeve,bear,stpatrick,ShamrockShuffle,4forjuly,christmas
1/1/2019,9596,31.5,1,,,,,,1,,,,,,,,,,,,,,,
1/2/2019,23867,29.5,1,,,,,,,,,,,,,,,,,,,,,
1/3/2019,26229,33,1,,,,,,,,,,,,,,,,,,,,,
1/4/2019,26257,41,,,,,,,,,,,,,,,,,,,,,,
1/5/2019,14378,42,,,,,,,,,,,,,,,,,,,,,,
1/6/2019,14580,39.5,,,,,,,,,,,,,,,,,,,,,,
1/7/2019,31504,48,,,,,,,,,,,,,,,,,,,,,,
1/8/2019,33185,36.5,,,,,,,,,,,,,,,,,,,,,,
1/9/2019,32003,21.5,,,,,,,,,,,,,,,,,,,,,,
1/10/2019,32757,20,,,,,,,,,,,,,,,,,,,,,,
1/11/2019,29142,26.5,,,,,,,,,,,,,,,,,,,,,,
1/12/2019,14005,31,,,,,,,,,,,,,,,,,,,,,,
1/13/2019,10596,29.5,,,,,,,,,,,,,,,,,,,,,,
1/14/2019,32635,24.5,,,,,,,,,,,,,,,,,,,,,,
1/15/2019,34086,29,,,,,,,,,,,,,,,,,,,,,,
1/16/2019,33691,32,,,,,,,,,,,,,,,,,,,,,,
1/17/2019,34329,32.5,,,,,,,,,,,,,,,,,,,,,,
1/18/2019,29702,30.5,,,,,,,,,,,,,,,,,,,,,,
1/19/2019,13999,22,,,,,,,,,,,,,,,,,,,,,,
1/20/2019,10846,12.5,,,,,,,,,,,,,,,,,,,,,,
1/21/2019,17113,11.5,,,,,,,,,,,,,,,,,,,,,,
1/22/2019,35191,24.5,,,,,,,,,,,,,,,,,,,,,,
1/23/2019,35212,28,,,,,,,,,,,,,,,,,,,,,,
1/24/2019,35357,13,,,,,,,,,,,,,,,,,,,,,,
1/25/2019,26654,1,,,,,,,,,,,,,,,,,,,,,,
1/26/2019,13940,4,,,,,,,,,,,,,,,,,,,,,,
1/27/2019,9980,5,,,,,,,,,,,,,,,,,,,,,,
1/28/2019,33609,22,,,,,,,,,,,,,,,,,,,,,,
1/29/2019,28420,1,,,,,,,,,,,,,,,,,,,,,,
1/30/2019,4371,-15.5,,,,,,,,,,,,,,,,,,,,,,
1/31/2019,10188,-9,,,,,,,,,,,,,,,,,,,,,,
2/1/2019,29391,11.5,,,,,,,,,,,,,,,,,,,,,,
2/2/2019,16241,28,,,,,,,,,,,,,,,,,,,,,,
2/3/2019,11135,43.5,,,,,,,,,,,,,,,,,,,,,,
2/4/2019,36272,40.5,,,,,,,,,,,,,,,,,,,,,,
2/5/2019,37205,30.5,,,,,,,,,,,,,,,,,,,,,,
2/6/2019,36361,35.5,,,,,,,,,,,,,,,,,,,,,,
2/7/2019,37498,28.5,,,,,,,,,,,,,,,,,,,,,,
2/8/2019,30235,10,,,,,,,,,,,,,,,,,,,,,,
2/9/2019,16096,16.5,,,,,,,,,,,,,,,,,,,,,,
2/10/2019,11180,26,,,,,,,,,,,,,,,,,,,,,,
2/11/2019,35452,30.5,,,,,,,,,,,,,,,,,,,,,,
2/12/2019,35654,27,,,,,,,,,,,,,,,,,,,,,,
2/13/2019,37201,21.5,,,,,,,,,,,,,,,,,,,,,,
2/14/2019,36848,38,,,,,,,,,,,,,,,,,,,,,,
2/15/2019,31982,22,,,,,,,,,,,,,,,,,,,,,,
