TeamA,TeamB,Date,Time,Attendance,Venue,Duration,link
Seattle Mariners,Chicago White Sox,2019-04-05,,,,,https://www.baseball-reference.com//boxes/CHA/CHA201904050.shtml
Seattle Mariners,Chicago White Sox,2019-04-06,13:10,31286.0,Guaranteed Rate Field,3:31,https://www.baseball-reference.com//boxes/CHA/CHA201904060.shtml
Seattle Mariners,Chicago White Sox,2019-04-07,13:09,12509.0,Guaranteed Rate Field,3:49,https://www.baseball-reference.com//boxes/CHA/CHA201904070.shtml
Tampa Bay Rays,Chicago White Sox,2019-04-08,13:10,11734.0,Guaranteed Rate Field,3:25,https://www.baseball-reference.com//boxes/CHA/CHA201904080.shtml
Pittsburgh Pirates,Chicago Cubs,2019-04-08,13:20,40692.0,Wrigley Field,3:12,https://www.baseball-reference.com//boxes/CHN/CHN201904080.shtml
Tampa Bay Rays,Chicago White Sox,2019-04-09,13:10,10799.0,Guaranteed Rate Field,3:56,https://www.baseball-reference.com//boxes/CHA/CHA201904090.shtml
Tampa Bay Rays,Chicago White Sox,2019-04-10,14:49,11107.0,Guaranteed Rate Field,3:00,https://www.baseball-reference.com//boxes/CHA/CHA201904100.shtml
Pittsburgh Pirates,Chicago Cubs,2019-04-10,19:05,32798.0,Wrigley Field,3:10,https://www.baseball-reference.com//boxes/CHN/CHN201904100.shtml
Pittsburgh Pirates,Chicago Cubs,2019-04-11,18:36,31906.0,Wrigley Field,2:38,https://www.baseball-reference.com//boxes/CHN/CHN201904110.shtml
Los Angeles Angels,Chicago Cubs,2019-04-12,13:21,30102.0,Wrigley Field,2:29,https://www.baseball-reference.com//boxes/CHN/CHN201904120.shtml
Los Angeles Angels,Chicago Cubs,2019-04-13,13:21,38755.0,Wrigley Field,3:56,https://www.baseball-reference.com//boxes/CHN/CHN201904130.shtml
Kansas City Royals,Chicago White Sox,2019-04-15,19:10,12553.0,Guaranteed Rate Field,3:02,https://www.baseball-reference.com//boxes/CHA/CHA201904150.shtml
Kansas City Royals,Chicago White Sox,2019-04-16,19:10,13583.0,Guaranteed Rate Field,2:39,https://www.baseball-reference.com//boxes/CHA/CHA201904160.shtml
Kansas City Royals,Chicago White Sox,2019-04-17,13:10,14358.0,Guaranteed Rate Field,4:04,https://www.baseball-reference.com//boxes/CHA/CHA201904170.shtml
Arizona Diamondbacks,Chicago Cubs,2019-04-19,13:21,33938.0,Wrigley Field,3:24,https://www.baseball-reference.com//boxes/CHN/CHN201904190.shtml
Arizona Diamondbacks,Chicago Cubs,2019-04-20,13:21,37667.0,Wrigley Field,3:08,https://www.baseball-reference.com//boxes/CHN/CHN201904200.shtml
Arizona Diamondbacks,Chicago Cubs,2019-04-21,13:20,38181.0,Wrigley Field,2:28,https://www.baseball-reference.com//boxes/CHN/CHN201904210.shtml
Los Angeles Dodgers,Chicago Cubs,2019-04-23,19:05,35536.0,Wrigley Field,2:56,https://www.baseball-reference.com//boxes/CHN/CHN201904230.shtml
Los Angeles Dodgers,Chicago Cubs,2019-04-24,19:05,35743.0,Wrigley Field,2:48,https://www.baseball-reference.com//boxes/CHN/CHN201904240.shtml
Los Angeles Dodgers,Chicago Cubs,2019-04-25,13:21,35451.0,Wrigley Field,3:08,https://www.baseball-reference.com//boxes/CHN/CHN201904250.shtml
Detroit Tigers,Chicago White Sox,2019-04-26,19:10,18016.0,Guaranteed Rate Field,4:02,https://www.baseball-reference.com//boxes/CHA/CHA201904260.shtml
Detroit Tigers,Chicago White Sox,2019-04-28,13:10,14539.0,Guaranteed Rate Field,2:58,https://www.baseball-reference.com//boxes/CHA/CHA201904280.shtml
Baltimore Orioles,Chicago White Sox,2019-04-29,19:10,14717.0,Guaranteed Rate Field,3:18,https://www.baseball-reference.com//boxes/CHA/CHA201904290.shtml
Baltimore Orioles,Chicago White Sox,2019-05-01,,,Guaranteed Rate Field,3:48,https://www.baseball-reference.com//boxes/CHA/CHA201905011.shtml
Baltimore Orioles,Chicago White Sox,2019-05-01,19:32,14781.0,Guaranteed Rate Field,3:22,https://www.baseball-reference.com//boxes/CHA/CHA201905012.shtml
Boston Red Sox,Chicago White Sox,2019-05-02,19:10,15118.0,Guaranteed Rate Field,3:33,https://www.baseball-reference.com//boxes/CHA/CHA201905020.shtml
Boston Red Sox,Chicago White Sox,2019-05-03,19:11,17504.0,Guaranteed Rate Field,3:15,https://www.baseball-reference.com//boxes/CHA/CHA201905030.shtml
St. Louis Cardinals,Chicago Cubs,2019-05-03,13:21,34978.0,Wrigley Field,2:28,https://www.baseball-reference.com//boxes/CHN/CHN201905030.shtml
Boston Red Sox,Chicago White Sox,2019-05-04,18:10,30068.0,Guaranteed Rate Field,3:34,https://www.baseball-reference.com//boxes/CHA/CHA201905040.shtml
St. Louis Cardinals,Chicago Cubs,2019-05-04,15:05,39601.0,Wrigley Field,3:03,https://www.baseball-reference.com//boxes/CHN/CHN201905040.shtml
Boston Red Sox,Chicago White Sox,2019-05-05,13:11,36553.0,Guaranteed Rate Field,3:33,https://www.baseball-reference.com//boxes/CHA/CHA201905050.shtml
St. Louis Cardinals,Chicago Cubs,2019-05-05,18:11,36499.0,Wrigley Field,3:21,https://www.baseball-reference.com//boxes/CHN/CHN201905050.shtml
Miami Marlins,Chicago Cubs,2019-05-06,19:05,34555.0,Wrigley Field,3:26,https://www.baseball-reference.com//boxes/CHN/CHN201905060.shtml
Miami Marlins,Chicago Cubs,2019-05-07,19:06,35274.0,Wrigley Field,3:10,https://www.baseball-reference.com//boxes/CHN/CHN201905070.shtml
Miami Marlins,Chicago Cubs,2019-05-08,18:35,37241.0,Wrigley Field,2:59,https://www.baseball-reference.com//boxes/CHN/CHN201905080.shtml
Miami Marlins,Chicago Cubs,2019-05-09,13:21,32301.0,Wrigley Field,2:59,https://www.baseball-reference.com//boxes/CHN/CHN201905090.shtml
Milwaukee Brewers,Chicago Cubs,2019-05-10,13:21,37870.0,Wrigley Field,3:18,https://www.baseball-reference.com//boxes/CHN/CHN201905100.shtml
Milwaukee Brewers,Chicago Cubs,2019-05-11,13:20,39598.0,Wrigley Field,4:56,https://www.baseball-reference.com//boxes/CHN/CHN201905110.shtml
Milwaukee Brewers,Chicago Cubs,2019-05-12,18:07,37267.0,Wrigley Field,2:55,https://www.baseball-reference.com//boxes/CHN/CHN201905120.shtml
Cleveland Indians,Chicago White Sox,2019-05-13,19:10,16471.0,Guaranteed Rate Field,2:28,https://www.baseball-reference.com//boxes/CHA/CHA201905130.shtml
Cleveland Indians,Chicago White Sox,2019-05-14,13:10,18823.0,Guaranteed Rate Field,3:06,https://www.baseball-reference.com//boxes/CHA/CHA201905140.shtml
Toronto Blue Jays,Chicago White Sox,2019-05-16,19:10,20119.0,Guaranteed Rate Field,3:16,https://www.baseball-reference.com//boxes/CHA/CHA201905160.shtml
Toronto Blue Jays,Chicago White Sox,2019-05-17,19:10,17078.0,Guaranteed Rate Field,3:14,https://www.baseball-reference.com//boxes/CHA/CHA201905170.shtml
Toronto Blue Jays,Chicago White Sox,2019-05-18,13:10,22908.0,Guaranteed Rate Field,1:31,https://www.baseball-reference.com//boxes/CHA/CHA201905180.shtml
Toronto Blue Jays,Chicago White Sox,2019-05-19,13:11,18605.0,Guaranteed Rate Field,3:06,https://www.baseball-reference.com//boxes/CHA/CHA201905190.shtml
Philadelphia Phillies,Chicago Cubs,2019-05-20,19:07,37909.0,Wrigley Field,3:34,https://www.baseball-reference.com//boxes/CHN/CHN201905200.shtml
Philadelphia Phillies,Chicago Cubs,2019-05-21,18:07,36768.0,Wrigley Field,3:34,https://www.baseball-reference.com//boxes/CHN/CHN201905210.shtml
Philadelphia Phillies,Chicago Cubs,2019-05-22,19:05,39246.0,Wrigley Field,3:04,https://www.baseball-reference.com//boxes/CHN/CHN201905220.shtml
Philadelphia Phillies,Chicago Cubs,2019-05-23,13:21,37173.0,Wrigley Field,3:55,https://www.baseball-reference.com//boxes/CHN/CHN201905230.shtml
Cincinnati Reds,Chicago Cubs,2019-05-24,13:21,35266.0,Wrigley Field,3:19,https://www.baseball-reference.com//boxes/CHN/CHN201905240.shtml
Cincinnati Reds,Chicago Cubs,2019-05-25,13:20,40929.0,Wrigley Field,3:13,https://www.baseball-reference.com//boxes/CHN/CHN201905250.shtml
Cincinnati Reds,Chicago Cubs,2019-05-26,13:21,40884.0,Wrigley Field,3:27,https://www.baseball-reference.com//boxes/CHN/CHN201905260.shtml
Kansas City Royals,Chicago White Sox,2019-05-27,13:10,20139.0,Guaranteed Rate Field,2:56,https://www.baseball-reference.com//boxes/CHA/CHA201905270.shtml
Kansas City Royals,Chicago White Sox,2019-05-28,18:42,13479.0,Guaranteed Rate Field,2:31,https://www.baseball-reference.com//boxes/CHA/CHA201905280.shtml
Kansas City Royals,Chicago White Sox,2019-05-29,19:11,16167.0,Guaranteed Rate Field,3:03,https://www.baseball-reference.com//boxes/CHA/CHA201905290.shtml
Cleveland Indians,Chicago White Sox,2019-05-30,19:11,22182.0,Guaranteed Rate Field,3:10,https://www.baseball-reference.com//boxes/CHA/CHA201905300.shtml
Cleveland Indians,Chicago White Sox,2019-05-31,19:11,21652.0,Guaranteed Rate Field,2:41,https://www.baseball-reference.com//boxes/CHA/CHA201905310.shtml
Cleveland Indians,Chicago White Sox,2019-06-01,13:10,25873.0,Guaranteed Rate Field,2:50,https://www.baseball-reference.com//boxes/CHA/CHA201906010.shtml
Cleveland Indians,Chicago White Sox,2019-06-02,13:11,26453.0,Guaranteed Rate Field,2:30,https://www.baseball-reference.com//boxes/CHA/CHA201906020.shtml
Los Angeles Angels,Chicago Cubs,2019-06-03,15:06,39843.0,Wrigley Field,3:00,https://www.baseball-reference.com//boxes/CHN/CHN201906030.shtml
Colorado Rockies,Chicago Cubs,2019-06-04,19:05,36753.0,Wrigley Field,2:34,https://www.baseball-reference.com//boxes/CHN/CHN201906040.shtml
Colorado Rockies,Chicago Cubs,2019-06-05,19:05,35395.0,Wrigley Field,3:22,https://www.baseball-reference.com//boxes/CHN/CHN201906050.shtml
Colorado Rockies,Chicago Cubs,2019-06-06,13:21,36375.0,Wrigley Field,2:40,https://www.baseball-reference.com//boxes/CHN/CHN201906060.shtml
St. Louis Cardinals,Chicago Cubs,2019-06-07,13:20,40671.0,Wrigley Field,2:39,https://www.baseball-reference.com//boxes/CHN/CHN201906070.shtml
St. Louis Cardinals,Chicago Cubs,2019-06-08,18:16,41005.0,Wrigley Field,3:27,https://www.baseball-reference.com//boxes/CHN/CHN201906080.shtml
St. Louis Cardinals,Chicago Cubs,2019-06-09,18:07,39545.0,Wrigley Field,2:48,https://www.baseball-reference.com//boxes/CHN/CHN201906090.shtml
Washington Nationals,Chicago White Sox,2019-06-10,19:12,16305.0,Guaranteed Rate Field,3:06,https://www.baseball-reference.com//boxes/CHA/CHA201906100.shtml
Washington Nationals,Chicago White Sox,2019-06-11,19:10,16790.0,Guaranteed Rate Field,3:19,https://www.baseball-reference.com//boxes/CHA/CHA201906110.shtml
New York Yankees,Chicago White Sox,2019-06-13,19:10,25311.0,Guaranteed Rate Field,3:14,https://www.baseball-reference.com//boxes/CHA/CHA201906130.shtml
New York Yankees,Chicago White Sox,2019-06-14,19:10,31438.0,Guaranteed Rate Field,3:02,https://www.baseball-reference.com//boxes/CHA/CHA201906140.shtml
New York Yankees,Chicago White Sox,2019-06-15,18:42,36074.0,Guaranteed Rate Field,3:27,https://www.baseball-reference.com//boxes/CHA/CHA201906150.shtml
New York Yankees,Chicago White Sox,2019-06-16,13:12,37277.0,Guaranteed Rate Field,3:06,https://www.baseball-reference.com//boxes/CHA/CHA201906160.shtml
Chicago White Sox,Chicago Cubs,2019-06-18,19:05,41192.0,Wrigley Field,2:44,https://www.baseball-reference.com//boxes/CHN/CHN201906180.shtml
Chicago White Sox,Chicago Cubs,2019-06-19,19:06,39776.0,Wrigley Field,3:18,https://www.baseball-reference.com//boxes/CHN/CHN201906190.shtml
New York Mets,Chicago Cubs,2019-06-20,19:06,38956.0,Wrigley Field,2:59,https://www.baseball-reference.com//boxes/CHN/CHN201906200.shtml
New York Mets,Chicago Cubs,2019-06-21,13:23,41078.0,Wrigley Field,3:11,https://www.baseball-reference.com//boxes/CHN/CHN201906210.shtml
New York Mets,Chicago Cubs,2019-06-22,13:23,41106.0,Wrigley Field,3:01,https://www.baseball-reference.com//boxes/CHN/CHN201906220.shtml
New York Mets,Chicago Cubs,2019-06-23,13:23,39077.0,Wrigley Field,2:49,https://www.baseball-reference.com//boxes/CHN/CHN201906230.shtml
Atlanta Braves,Chicago Cubs,2019-06-24,19:06,37603.0,Wrigley Field,3:01,https://www.baseball-reference.com//boxes/CHN/CHN201906240.shtml
Atlanta Braves,Chicago Cubs,2019-06-25,19:05,37333.0,Wrigley Field,2:59,https://www.baseball-reference.com//boxes/CHN/CHN201906250.shtml
Atlanta Braves,Chicago Cubs,2019-06-26,19:05,38017.0,Wrigley Field,3:02,https://www.baseball-reference.com//boxes/CHN/CHN201906260.shtml
Atlanta Braves,Chicago Cubs,2019-06-27,13:21,39823.0,Wrigley Field,3:02,https://www.baseball-reference.com//boxes/CHN/CHN201906270.shtml
Minnesota Twins,Chicago White Sox,2019-06-28,19:10,28218.0,Guaranteed Rate Field,2:56,https://www.baseball-reference.com//boxes/CHA/CHA201906280.shtml
Minnesota Twins,Chicago White Sox,2019-06-29,15:12,27908.0,Guaranteed Rate Field,3:14,https://www.baseball-reference.com//boxes/CHA/CHA201906290.shtml
Minnesota Twins,Chicago White Sox,2019-06-30,13:10,27244.0,Guaranteed Rate Field,2:47,https://www.baseball-reference.com//boxes/CHA/CHA201906300.shtml
Detroit Tigers,Chicago White Sox,2019-07-03,,,,,https://www.baseball-reference.com//boxes/CHA/CHA201907031.shtml
Detroit Tigers,Chicago White Sox,2019-07-03,19:10,23161.0,Guaranteed Rate Field,3:48,https://www.baseball-reference.com//boxes/CHA/CHA201907032.shtml
Detroit Tigers,Chicago White Sox,2019-07-04,13:11,25617.0,Guaranteed Rate Field,3:27,https://www.baseball-reference.com//boxes/CHA/CHA201907040.shtml
Chicago Cubs,Chicago White Sox,2019-07-06,18:16,38634.0,Guaranteed Rate Field,3:26,https://www.baseball-reference.com//boxes/CHA/CHA201907060.shtml
Chicago Cubs,Chicago White Sox,2019-07-07,13:10,38554.0,Guaranteed Rate Field,2:54,https://www.baseball-reference.com//boxes/CHA/CHA201907070.shtml
Pittsburgh Pirates,Chicago Cubs,2019-07-12,13:21,40740.0,Wrigley Field,3:25,https://www.baseball-reference.com//boxes/CHN/CHN201907120.shtml
Pittsburgh Pirates,Chicago Cubs,2019-07-13,13:22,40286.0,Wrigley Field,3:12,https://www.baseball-reference.com//boxes/CHN/CHN201907130.shtml
Pittsburgh Pirates,Chicago Cubs,2019-07-14,13:22,39291.0,Wrigley Field,2:52,https://www.baseball-reference.com//boxes/CHN/CHN201907140.shtml
Cincinnati Reds,Chicago Cubs,2019-07-15,19:05,36935.0,Wrigley Field,3:17,https://www.baseball-reference.com//boxes/CHN/CHN201907150.shtml
Cincinnati Reds,Chicago Cubs,2019-07-16,19:05,39788.0,Wrigley Field,3:31,https://www.baseball-reference.com//boxes/CHN/CHN201907160.shtml
Cincinnati Reds,Chicago Cubs,2019-07-17,13:20,37260.0,Wrigley Field,3:07,https://www.baseball-reference.com//boxes/CHN/CHN201907170.shtml
San Diego Padres,Chicago Cubs,2019-07-19,13:22,39526.0,Wrigley Field,3:12,https://www.baseball-reference.com//boxes/CHN/CHN201907190.shtml
San Diego Padres,Chicago Cubs,2019-07-20,13:22,40314.0,Wrigley Field,3:25,https://www.baseball-reference.com//boxes/CHN/CHN201907200.shtml
San Diego Padres,Chicago Cubs,2019-07-21,13:52,39954.0,Wrigley Field,2:49,https://www.baseball-reference.com//boxes/CHN/CHN201907210.shtml
Miami Marlins,Chicago White Sox,2019-07-22,19:10,14741.0,Guaranteed Rate Field,2:29,https://www.baseball-reference.com//boxes/CHA/CHA201907220.shtml
