TeamA,TeamB,Date,Time,Attendance,Venue,Duration,link
Milwaukee Brewers,Chicago Cubs,3/30/2023,13:20,36054,Wrigley Field,2:21,https://www.baseball-reference.com//boxes/CHN/CHN202303300.shtml
Milwaukee Brewers,Chicago Cubs,4/1/2023,13:20,31363,Wrigley Field,2:32,https://www.baseball-reference.com//boxes/CHN/CHN202304010.shtml
Milwaukee Brewers,Chicago Cubs,4/2/2023,13:20,33266,Wrigley Field,2:57,https://www.baseball-reference.com//boxes/CHN/CHN202304020.shtml
Texas Rangers,Chicago Cubs,4/7/2023,13:20,29094,Wrigley Field,2:17,https://www.baseball-reference.com//boxes/CHN/CHN202304070.shtml
Texas Rangers,Chicago Cubs,4/8/2023,15:05,33578,Wrigley Field,2:55,https://www.baseball-reference.com//boxes/CHN/CHN202304080.shtml
Texas Rangers,Chicago Cubs,4/9/2023,13:20,28807,Wrigley Field,2:31,https://www.baseball-reference.com//boxes/CHN/CHN202304090.shtml
Seattle Mariners,Chicago Cubs,4/10/2023,18:40,26766,Wrigley Field,2:38,https://www.baseball-reference.com//boxes/CHN/CHN202304100.shtml
Seattle Mariners,Chicago Cubs,4/11/2023,18:40,30081,Wrigley Field,3:02,https://www.baseball-reference.com//boxes/CHN/CHN202304110.shtml
Seattle Mariners,Chicago Cubs,4/12/2023,13:20,26944,Wrigley Field,2:31,https://www.baseball-reference.com//boxes/CHN/CHN202304120.shtml
Los Angeles Dodgers,Chicago Cubs,4/20/2023,18:40,32817,Wrigley Field,2:53,https://www.baseball-reference.com//boxes/CHN/CHN202304200.shtml
Los Angeles Dodgers,Chicago Cubs,4/21/2023,13:20,30381,Wrigley Field,2:39,https://www.baseball-reference.com//boxes/CHN/CHN202304210.shtml
Los Angeles Dodgers,Chicago Cubs,4/22/2023,13:20,35076,Wrigley Field,2:55,https://www.baseball-reference.com//boxes/CHN/CHN202304220.shtml
Los Angeles Dodgers,Chicago Cubs,4/23/2023,13:20,33494,Wrigley Field,2:22,https://www.baseball-reference.com//boxes/CHN/CHN202304230.shtml
San Diego Padres,Chicago Cubs,4/25/2023,18:40,27956,Wrigley Field,2:52,https://www.baseball-reference.com//boxes/CHN/CHN202304250.shtml
San Diego Padres,Chicago Cubs,4/26/2023,18:40,28955,Wrigley Field,2:47,https://www.baseball-reference.com//boxes/CHN/CHN202304260.shtml
San Diego Padres,Chicago Cubs,4/27/2023,13:20,26588,Wrigley Field,2:30,https://www.baseball-reference.com//boxes/CHN/CHN202304270.shtml
Miami Marlins,Chicago Cubs,5/5/2023,13:20,31181,Wrigley Field,2:09,https://www.baseball-reference.com//boxes/CHN/CHN202305050.shtml
Miami Marlins,Chicago Cubs,5/6/2023,13:20,36418,Wrigley Field,2:45,https://www.baseball-reference.com//boxes/CHN/CHN202305060.shtml
Miami Marlins,Chicago Cubs,5/7/2023,13:20,38196,Wrigley Field,3:49,https://www.baseball-reference.com//boxes/CHN/CHN202305070.shtml
St. Louis Cardinals,Chicago Cubs,5/8/2023,18:40,30937,Wrigley Field,2:57,https://www.baseball-reference.com//boxes/CHN/CHN202305080.shtml
