YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,RIDES
2019,1,2019-01-01,16.0,Red Line - North Side,Addison-North Main,3956
2019,1,2019-01-02,16.0,Red Line - North Side,Addison-North Main,4759
2019,1,2019-01-03,16.0,Red Line - North Side,Addison-North Main,5329
2019,1,2019-01-04,16.0,Red Line - North Side,Addison-North Main,5515
2019,1,2019-01-05,16.0,Red Line - North Side,Addison-North Main,3716
2019,1,2019-01-06,16.0,Red Line - North Side,Addison-North Main,2989
2019,1,2019-01-07,16.0,Red Line - North Side,Addison-North Main,5939
2019,1,2019-01-08,16.0,Red Line - North Side,Addison-North Main,6254
2019,1,2019-01-09,16.0,Red Line - North Side,Addison-North Main,6014
2019,1,2019-01-10,16.0,Red Line - North Side,Addison-North Main,6155
2019,1,2019-01-11,16.0,Red Line - North Side,Addison-North Main,6134
2019,1,2019-01-12,16.0,Red Line - North Side,Addison-North Main,3509
2019,1,2019-01-13,16.0,Red Line - North Side,Addison-North Main,2836
2019,1,2019-01-14,16.0,Red Line - North Side,Addison-North Main,6101
2019,1,2019-01-15,16.0,Red Line - North Side,Addison-North Main,6411
2019,1,2019-01-16,16.0,Red Line - North Side,Addison-North Main,6182
2019,1,2019-01-17,16.0,Red Line - North Side,Addison-North Main,6439
2019,1,2019-01-18,16.0,Red Line - North Side,Addison-North Main,6448
2019,1,2019-01-19,16.0,Red Line - North Side,Addison-North Main,3389
2019,1,2019-01-20,16.0,Red Line - North Side,Addison-North Main,2713
2019,1,2019-01-21,16.0,Red Line - North Side,Addison-North Main,3712
2019,1,2019-01-22,16.0,Red Line - North Side,Addison-North Main,6222
2019,1,2019-01-23,16.0,Red Line - North Side,Addison-North Main,6314
2019,1,2019-01-24,16.0,Red Line - North Side,Addison-North Main,6207
2019,1,2019-01-25,16.0,Red Line - North Side,Addison-North Main,5186
2019,1,2019-01-26,16.0,Red Line - North Side,Addison-North Main,3059
2019,1,2019-01-27,16.0,Red Line - North Side,Addison-North Main,2397
2019,1,2019-01-28,16.0,Red Line - North Side,Addison-North Main,6072
2019,1,2019-01-29,16.0,Red Line - North Side,Addison-North Main,5128
2019,1,2019-01-30,16.0,Red Line - North Side,Addison-North Main,576
2019,1,2019-01-31,16.0,Red Line - North Side,Addison-North Main,1908
2019,2,2019-02-01,16.0,Red Line - North Side,Addison-North Main,5685
2019,2,2019-02-02,16.0,Red Line - North Side,Addison-North Main,3620
2019,2,2019-02-03,16.0,Red Line - North Side,Addison-North Main,2974
2019,2,2019-02-04,16.0,Red Line - North Side,Addison-North Main,6280
2019,2,2019-02-05,16.0,Red Line - North Side,Addison-North Main,6322
2019,2,2019-02-06,16.0,Red Line - North Side,Addison-North Main,6459
2019,2,2019-02-07,16.0,Red Line - North Side,Addison-North Main,6406
