YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,RIDES
2019,1,2019-01-01,55.0,Blue Line - O'Hare,O'Hare Airport,9550
2019,1,2019-01-01,185.0,Orange Line,Midway Airport,2942
2019,1,2019-01-02,55.0,Blue Line - O'Hare,O'Hare Airport,10681
2019,1,2019-01-02,185.0,Orange Line,Midway Airport,7012
2019,1,2019-01-03,55.0,Blue Line - O'Hare,O'Hare Airport,10437
2019,1,2019-01-03,185.0,Orange Line,Midway Airport,7128
2019,1,2019-01-04,55.0,Blue Line - O'Hare,O'Hare Airport,9986
2019,1,2019-01-04,185.0,Orange Line,Midway Airport,7020
2019,1,2019-01-05,55.0,Blue Line - O'Hare,O'Hare Airport,8161
2019,1,2019-01-05,185.0,Orange Line,Midway Airport,3376
2019,1,2019-01-06,55.0,Blue Line - O'Hare,O'Hare Airport,8691
2019,1,2019-01-06,185.0,Orange Line,Midway Airport,3011
2019,1,2019-01-07,55.0,Blue Line - O'Hare,O'Hare Airport,9569
2019,1,2019-01-07,185.0,Orange Line,Midway Airport,7061
2019,1,2019-01-08,55.0,Blue Line - O'Hare,O'Hare Airport,8793
2019,1,2019-01-08,185.0,Orange Line,Midway Airport,7321
2019,1,2019-01-09,55.0,Blue Line - O'Hare,O'Hare Airport,9176
2019,1,2019-01-09,185.0,Orange Line,Midway Airport,7312
2019,1,2019-01-10,55.0,Blue Line - O'Hare,O'Hare Airport,10045
2019,1,2019-01-10,185.0,Orange Line,Midway Airport,7493
2019,1,2019-01-11,55.0,Blue Line - O'Hare,O'Hare Airport,10063
2019,1,2019-01-11,185.0,Orange Line,Midway Airport,7183
2019,1,2019-01-12,55.0,Blue Line - O'Hare,O'Hare Airport,7712
2019,1,2019-01-12,185.0,Orange Line,Midway Airport,2837
2019,1,2019-01-13,55.0,Blue Line - O'Hare,O'Hare Airport,8561
2019,1,2019-01-13,185.0,Orange Line,Midway Airport,2422
2019,1,2019-01-14,55.0,Blue Line - O'Hare,O'Hare Airport,9588
2019,1,2019-01-14,185.0,Orange Line,Midway Airport,7694
2019,1,2019-01-15,55.0,Blue Line - O'Hare,O'Hare Airport,8673
2019,1,2019-01-15,185.0,Orange Line,Midway Airport,7561
2019,1,2019-01-16,55.0,Blue Line - O'Hare,O'Hare Airport,8509
2019,1,2019-01-16,185.0,Orange Line,Midway Airport,7717
2019,1,2019-01-17,55.0,Blue Line - O'Hare,O'Hare Airport,9496
2019,1,2019-01-17,185.0,Orange Line,Midway Airport,7834
2019,1,2019-01-18,55.0,Blue Line - O'Hare,O'Hare Airport,11481
2019,1,2019-01-18,185.0,Orange Line,Midway Airport,8135
2019,1,2019-01-19,55.0,Blue Line - O'Hare,O'Hare Airport,6495
2019,1,2019-01-19,185.0,Orange Line,Midway Airport,2765
2019,1,2019-01-20,55.0,Blue Line - O'Hare,O'Hare Airport,8024
2019,1,2019-01-20,185.0,Orange Line,Midway Airport,2200
2019,1,2019-01-21,55.0,Blue Line - O'Hare,O'Hare Airport,9716
2019,1,2019-01-21,185.0,Orange Line,Midway Airport,4665
2019,1,2019-01-22,55.0,Blue Line - O'Hare,O'Hare Airport,8653
2019,1,2019-01-22,185.0,Orange Line,Midway Airport,7782
2019,1,2019-01-23,55.0,Blue Line - O'Hare,O'Hare Airport,9110
2019,1,2019-01-23,185.0,Orange Line,Midway Airport,7665
2019,1,2019-01-24,55.0,Blue Line - O'Hare,O'Hare Airport,8781
2019,1,2019-01-24,185.0,Orange Line,Midway Airport,7606
2019,1,2019-01-25,55.0,Blue Line - O'Hare,O'Hare Airport,9137
2019,1,2019-01-25,185.0,Orange Line,Midway Airport,6295
2019,1,2019-01-26,55.0,Blue Line - O'Hare,O'Hare Airport,6565
2019,1,2019-01-26,185.0,Orange Line,Midway Airport,2434
2019,1,2019-01-27,55.0,Blue Line - O'Hare,O'Hare Airport,8206
2019,1,2019-01-27,185.0,Orange Line,Midway Airport,2074
2019,1,2019-01-28,55.0,Blue Line - O'Hare,O'Hare Airport,7932
2019,1,2019-01-28,185.0,Orange Line,Midway Airport,6897
2019,1,2019-01-29,55.0,Blue Line - O'Hare,O'Hare Airport,7908
2019,1,2019-01-29,185.0,Orange Line,Midway Airport,6043
2019,1,2019-01-30,55.0,Blue Line - O'Hare,O'Hare Airport,4041
2019,1,2019-01-30,185.0,Orange Line,Midway Airport,1036
2019,1,2019-01-31,55.0,Blue Line - O'Hare,O'Hare Airport,5916
2019,1,2019-01-31,185.0,Orange Line,Midway Airport,2446
2019,2,2019-02-01,55.0,Blue Line - O'Hare,O'Hare Airport,9674
2019,2,2019-02-01,185.0,Orange Line,Midway Airport,6904
2019,2,2019-02-02,55.0,Blue Line - O'Hare,O'Hare Airport,6968
2019,2,2019-02-02,185.0,Orange Line,Midway Airport,2867
2019,2,2019-02-03,55.0,Blue Line - O'Hare,O'Hare Airport,8030
2019,2,2019-02-03,185.0,Orange Line,Midway Airport,2374
2019,2,2019-02-04,55.0,Blue Line - O'Hare,O'Hare Airport,10000
2019,2,2019-02-04,185.0,Orange Line,Midway Airport,8042
2019,2,2019-02-05,55.0,Blue Line - O'Hare,O'Hare Airport,8212
2019,2,2019-02-05,185.0,Orange Line,Midway Airport,7707
2019,2,2019-02-06,55.0,Blue Line - O'Hare,O'Hare Airport,8794
2019,2,2019-02-06,185.0,Orange Line,Midway Airport,7807
2019,2,2019-02-07,55.0,Blue Line - O'Hare,O'Hare Airport,9484
2019,2,2019-02-07,185.0,Orange Line,Midway Airport,7859
2019,2,2019-02-08,55.0,Blue Line - O'Hare,O'Hare Airport,9811
2019,2,2019-02-08,185.0,Orange Line,Midway Airport,7195
2019,2,2019-02-09,55.0,Blue Line - O'Hare,O'Hare Airport,7005
2019,2,2019-02-09,185.0,Orange Line,Midway Airport,2720
2019,2,2019-02-10,55.0,Blue Line - O'Hare,O'Hare Airport,8220
2019,2,2019-02-10,185.0,Orange Line,Midway Airport,2512
2019,2,2019-02-11,55.0,Blue Line - O'Hare,O'Hare Airport,9744
2019,2,2019-02-11,185.0,Orange Line,Midway Airport,7903
2019,2,2019-02-12,55.0,Blue Line - O'Hare,O'Hare Airport,8609
2019,2,2019-02-12,185.0,Orange Line,Midway Airport,7240
2019,2,2019-02-13,55.0,Blue Line - O'Hare,O'Hare Airport,8734
2019,2,2019-02-13,185.0,Orange Line,Midway Airport,7733
2019,2,2019-02-14,55.0,Blue Line - O'Hare,O'Hare Airport,10484
2019,2,2019-02-14,185.0,Orange Line,Midway Airport,8092
2019,2,2019-02-15,55.0,Blue Line - O'Hare,O'Hare Airport,11185
2019,2,2019-02-15,185.0,Orange Line,Midway Airport,7929
2019,2,2019-02-16,55.0,Blue Line - O'Hare,O'Hare Airport,7630
2019,2,2019-02-16,185.0,Orange Line,Midway Airport,3198
2019,2,2019-02-17,55.0,Blue Line - O'Hare,O'Hare Airport,6977
2019,2,2019-02-17,185.0,Orange Line,Midway Airport,2350
2019,2,2019-02-18,55.0,Blue Line - O'Hare,O'Hare Airport,10986
2019,2,2019-02-18,185.0,Orange Line,Midway Airport,5847
2019,2,2019-02-19,55.0,Blue Line - O'Hare,O'Hare Airport,9666
2019,2,2019-02-19,185.0,Orange Line,Midway Airport,8100
2019,2,2019-02-20,55.0,Blue Line - O'Hare,O'Hare Airport,8681
2019,2,2019-02-20,185.0,Orange Line,Midway Airport,7565
2019,2,2019-02-21,55.0,Blue Line - O'Hare,O'Hare Airport,10246
2019,2,2019-02-21,185.0,Orange Line,Midway Airport,8157
2019,2,2019-02-22,55.0,Blue Line - O'Hare,O'Hare Airport,10495
2019,2,2019-02-22,185.0,Orange Line,Midway Airport,7844
2019,2,2019-02-23,55.0,Blue Line - O'Hare,O'Hare Airport,6967
2019,2,2019-02-23,185.0,Orange Line,Midway Airport,2881
2019,2,2019-02-24,55.0,Blue Line - O'Hare,O'Hare Airport,8470
2019,2,2019-02-24,185.0,Orange Line,Midway Airport,2203
2019,2,2019-02-25,55.0,Blue Line - O'Hare,O'Hare Airport,10004
2019,2,2019-02-25,185.0,Orange Line,Midway Airport,7823
2019,2,2019-02-26,55.0,Blue Line - O'Hare,O'Hare Airport,8791
2019,2,2019-02-26,185.0,Orange Line,Midway Airport,7512
2019,2,2019-02-27,55.0,Blue Line - O'Hare,O'Hare Airport,8800
2019,2,2019-02-27,185.0,Orange Line,Midway Airport,7665
2019,2,2019-02-28,55.0,Blue Line - O'Hare,O'Hare Airport,9964
2019,2,2019-02-28,185.0,Orange Line,Midway Airport,7607
2019,3,2019-03-01,55.0,Blue Line - O'Hare,O'Hare Airport,10968
2019,3,2019-03-01,185.0,Orange Line,Midway Airport,7465
2019,3,2019-03-02,55.0,Blue Line - O'Hare,O'Hare Airport,7762
2019,3,2019-03-02,185.0,Orange Line,Midway Airport,3109
2019,3,2019-03-03,55.0,Blue Line - O'Hare,O'Hare Airport,9041
2019,3,2019-03-03,185.0,Orange Line,Midway Airport,2559
2019,3,2019-03-04,55.0,Blue Line - O'Hare,O'Hare Airport,9690
2019,3,2019-03-04,185.0,Orange Line,Midway Airport,7155
2019,3,2019-03-05,55.0,Blue Line - O'Hare,O'Hare Airport,9056
2019,3,2019-03-05,185.0,Orange Line,Midway Airport,7483
2019,3,2019-03-06,55.0,Blue Line - O'Hare,O'Hare Airport,9209
2019,3,2019-03-06,185.0,Orange Line,Midway Airport,7663
2019,3,2019-03-07,55.0,Blue Line - O'Hare,O'Hare Airport,10067
2019,3,2019-03-07,185.0,Orange Line,Midway Airport,7861
2019,3,2019-03-08,55.0,Blue Line - O'Hare,O'Hare Airport,10756
2019,3,2019-03-08,185.0,Orange Line,Midway Airport,7877
2019,3,2019-03-09,55.0,Blue Line - O'Hare,O'Hare Airport,7786
2019,3,2019-03-09,185.0,Orange Line,Midway Airport,3307
2019,3,2019-03-10,55.0,Blue Line - O'Hare,O'Hare Airport,9013
2019,3,2019-03-10,185.0,Orange Line,Midway Airport,2737
2019,3,2019-03-11,55.0,Blue Line - O'Hare,O'Hare Airport,10814
2019,3,2019-03-11,185.0,Orange Line,Midway Airport,7965
2019,3,2019-03-12,55.0,Blue Line - O'Hare,O'Hare Airport,8008
2019,3,2019-03-12,185.0,Orange Line,Midway Airport,7977
2019,3,2019-03-13,55.0,Blue Line - O'Hare,O'Hare Airport,9413
2019,3,2019-03-13,185.0,Orange Line,Midway Airport,7885
2019,3,2019-03-14,55.0,Blue Line - O'Hare,O'Hare Airport,11424
2019,3,2019-03-14,185.0,Orange Line,Midway Airport,8376
2019,3,2019-03-15,55.0,Blue Line - O'Hare,O'Hare Airport,14877
2019,3,2019-03-15,185.0,Orange Line,Midway Airport,9085
2019,3,2019-03-16,55.0,Blue Line - O'Hare,O'Hare Airport,8914
2019,3,2019-03-16,185.0,Orange Line,Midway Airport,5711
2019,3,2019-03-17,55.0,Blue Line - O'Hare,O'Hare Airport,9290
2019,3,2019-03-17,185.0,Orange Line,Midway Airport,2936
2019,3,2019-03-18,55.0,Blue Line - O'Hare,O'Hare Airport,10964
2019,3,2019-03-18,185.0,Orange Line,Midway Airport,8111
2019,3,2019-03-19,55.0,Blue Line - O'Hare,O'Hare Airport,9457
2019,3,2019-03-19,185.0,Orange Line,Midway Airport,7914
2019,3,2019-03-20,55.0,Blue Line - O'Hare,O'Hare Airport,9601
2019,3,2019-03-20,185.0,Orange Line,Midway Airport,7842
2019,3,2019-03-21,55.0,Blue Line - O'Hare,O'Hare Airport,10714
2019,3,2019-03-21,185.0,Orange Line,Midway Airport,8253
2019,3,2019-03-22,55.0,Blue Line - O'Hare,O'Hare Airport,11365
2019,3,2019-03-22,185.0,Orange Line,Midway Airport,8101
2019,3,2019-03-23,55.0,Blue Line - O'Hare,O'Hare Airport,8563
2019,3,2019-03-23,185.0,Orange Line,Midway Airport,3837
2019,3,2019-03-24,55.0,Blue Line - O'Hare,O'Hare Airport,9318
2019,3,2019-03-24,185.0,Orange Line,Midway Airport,3150
2019,3,2019-03-25,55.0,Blue Line - O'Hare,O'Hare Airport,10673
2019,3,2019-03-25,185.0,Orange Line,Midway Airport,7613
