YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,station_id,RIDES
2019,1,1/1/2019,16,Red Line - North Side,Addison-North Main,1420,3956
2019,1,1/2/2019,16,Red Line - North Side,Addison-North Main,1420,4759
2019,1,1/3/2019,16,Red Line - North Side,Addison-North Main,1420,5329
2019,1,1/4/2019,16,Red Line - North Side,Addison-North Main,1420,5515
2019,1,1/5/2019,16,Red Line - North Side,Addison-North Main,1420,3716
2019,1,1/6/2019,16,Red Line - North Side,Addison-North Main,1420,2989
2019,1,1/7/2019,16,Red Line - North Side,Addison-North Main,1420,5939
2019,1,1/8/2019,16,Red Line - North Side,Addison-North Main,1420,6254
2019,1,1/9/2019,16,Red Line - North Side,Addison-North Main,1420,6014
2019,1,1/10/2019,16,Red Line - North Side,Addison-North Main,1420,6155
2019,1,1/11/2019,16,Red Line - North Side,Addison-North Main,1420,6134
2019,1,1/12/2019,16,Red Line - North Side,Addison-North Main,1420,3509
2019,1,1/13/2019,16,Red Line - North Side,Addison-North Main,1420,2836
2019,1,1/14/2019,16,Red Line - North Side,Addison-North Main,1420,6101
2019,1,1/15/2019,16,Red Line - North Side,Addison-North Main,1420,6411
2019,1,1/16/2019,16,Red Line - North Side,Addison-North Main,1420,6182
2019,1,1/17/2019,16,Red Line - North Side,Addison-North Main,1420,6439
2019,1,1/18/2019,16,Red Line - North Side,Addison-North Main,1420,6448
2019,1,1/19/2019,16,Red Line - North Side,Addison-North Main,1420,3389
2019,1,1/20/2019,16,Red Line - North Side,Addison-North Main,1420,2713
2019,1,1/21/2019,16,Red Line - North Side,Addison-North Main,1420,3712
2019,1,1/22/2019,16,Red Line - North Side,Addison-North Main,1420,6222
2019,1,1/23/2019,16,Red Line - North Side,Addison-North Main,1420,6314
2019,1,1/24/2019,16,Red Line - North Side,Addison-North Main,1420,6207
2019,1,1/25/2019,16,Red Line - North Side,Addison-North Main,1420,5186
2019,1,1/26/2019,16,Red Line - North Side,Addison-North Main,1420,3059
2019,1,1/27/2019,16,Red Line - North Side,Addison-North Main,1420,2397
2019,1,1/28/2019,16,Red Line - North Side,Addison-North Main,1420,6072
2019,1,1/29/2019,16,Red Line - North Side,Addison-North Main,1420,5128
2019,1,1/30/2019,16,Red Line - North Side,Addison-North Main,1420,576
2019,1,1/31/2019,16,Red Line - North Side,Addison-North Main,1420,1908
2019,2,2/1/2019,16,Red Line - North Side,Addison-North Main,1420,5685
2019,2,2/2/2019,16,Red Line - North Side,Addison-North Main,1420,3620
2019,2,2/3/2019,16,Red Line - North Side,Addison-North Main,1420,2974
2019,2,2/4/2019,16,Red Line - North Side,Addison-North Main,1420,6280
2019,2,2/5/2019,16,Red Line - North Side,Addison-North Main,1420,6322
2019,2,2/6/2019,16,Red Line - North Side,Addison-North Main,1420,6459
2019,2,2/7/2019,16,Red Line - North Side,Addison-North Main,1420,6406
2019,2,2/8/2019,16,Red Line - North Side,Addison-North Main,1420,5864
2019,2,2/9/2019,16,Red Line - North Side,Addison-North Main,1420,3773
2019,2,2/10/2019,16,Red Line - North Side,Addison-North Main,1420,2748
2019,2,2/11/2019,16,Red Line - North Side,Addison-North Main,1420,6038
2019,2,2/12/2019,16,Red Line - North Side,Addison-North Main,1420,6389
2019,2,2/13/2019,16,Red Line - North Side,Addison-North Main,1420,6294
2019,2,2/14/2019,16,Red Line - North Side,Addison-North Main,1420,6540
2019,2,2/15/2019,16,Red Line - North Side,Addison-North Main,1420,6120
2019,2,2/16/2019,16,Red Line - North Side,Addison-North Main,1420,3995
2019,2,2/17/2019,16,Red Line - North Side,Addison-North Main,1420,2965
2019,2,2/18/2019,16,Red Line - North Side,Addison-North Main,1420,4671
2019,2,2/19/2019,16,Red Line - North Side,Addison-North Main,1420,6267
2019,2,2/20/2019,16,Red Line - North Side,Addison-North Main,1420,6389
2019,2,2/21/2019,16,Red Line - North Side,Addison-North Main,1420,6486
2019,2,2/22/2019,16,Red Line - North Side,Addison-North Main,1420,6295
2019,2,2/23/2019,16,Red Line - North Side,Addison-North Main,1420,3376
2019,2,2/24/2019,16,Red Line - North Side,Addison-North Main,1420,2637
2019,2,2/25/2019,16,Red Line - North Side,Addison-North Main,1420,5810
2019,2,2/26/2019,16,Red Line - North Side,Addison-North Main,1420,6096
2019,2,2/27/2019,16,Red Line - North Side,Addison-North Main,1420,6055
