YEAR,MONTH,SERVICE_DATE,SORT_ALL,BRANCH,STATION,station_id,RIDES
2019,1,1/1/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9550
2019,1,1/1/2019,185,Orange Line,Midway Airport,930,2942
2019,1,1/2/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10681
2019,1,1/2/2019,185,Orange Line,Midway Airport,930,7012
2019,1,1/3/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10437
2019,1,1/3/2019,185,Orange Line,Midway Airport,930,7128
2019,1,1/4/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9986
2019,1,1/4/2019,185,Orange Line,Midway Airport,930,7020
2019,1,1/5/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8161
2019,1,1/5/2019,185,Orange Line,Midway Airport,930,3376
2019,1,1/6/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8691
2019,1,1/6/2019,185,Orange Line,Midway Airport,930,3011
2019,1,1/7/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9569
2019,1,1/7/2019,185,Orange Line,Midway Airport,930,7061
2019,1,1/8/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8793
2019,1,1/8/2019,185,Orange Line,Midway Airport,930,7321
2019,1,1/9/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9176
2019,1,1/9/2019,185,Orange Line,Midway Airport,930,7312
2019,1,1/10/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10045
2019,1,1/10/2019,185,Orange Line,Midway Airport,930,7493
2019,1,1/11/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10063
2019,1,1/11/2019,185,Orange Line,Midway Airport,930,7183
2019,1,1/12/2019,55,Blue Line - O'Hare,O'Hare Airport,890,7712
2019,1,1/12/2019,185,Orange Line,Midway Airport,930,2837
2019,1,1/13/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8561
2019,1,1/13/2019,185,Orange Line,Midway Airport,930,2422
2019,1,1/14/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9588
2019,1,1/14/2019,185,Orange Line,Midway Airport,930,7694
2019,1,1/15/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8673
2019,1,1/15/2019,185,Orange Line,Midway Airport,930,7561
2019,1,1/16/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8509
2019,1,1/16/2019,185,Orange Line,Midway Airport,930,7717
2019,1,1/17/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9496
2019,1,1/17/2019,185,Orange Line,Midway Airport,930,7834
2019,1,1/18/2019,55,Blue Line - O'Hare,O'Hare Airport,890,11481
2019,1,1/18/2019,185,Orange Line,Midway Airport,930,8135
2019,1,1/19/2019,55,Blue Line - O'Hare,O'Hare Airport,890,6495
2019,1,1/19/2019,185,Orange Line,Midway Airport,930,2765
2019,1,1/20/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8024
2019,1,1/20/2019,185,Orange Line,Midway Airport,930,2200
2019,1,1/21/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9716
2019,1,1/21/2019,185,Orange Line,Midway Airport,930,4665
2019,1,1/22/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8653
2019,1,1/22/2019,185,Orange Line,Midway Airport,930,7782
2019,1,1/23/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9110
2019,1,1/23/2019,185,Orange Line,Midway Airport,930,7665
2019,1,1/24/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8781
2019,1,1/24/2019,185,Orange Line,Midway Airport,930,7606
2019,1,1/25/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9137
2019,1,1/25/2019,185,Orange Line,Midway Airport,930,6295
2019,1,1/26/2019,55,Blue Line - O'Hare,O'Hare Airport,890,6565
2019,1,1/26/2019,185,Orange Line,Midway Airport,930,2434
2019,1,1/27/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8206
2019,1,1/27/2019,185,Orange Line,Midway Airport,930,2074
2019,1,1/28/2019,55,Blue Line - O'Hare,O'Hare Airport,890,7932
2019,1,1/28/2019,185,Orange Line,Midway Airport,930,6897
2019,1,1/29/2019,55,Blue Line - O'Hare,O'Hare Airport,890,7908
2019,1,1/29/2019,185,Orange Line,Midway Airport,930,6043
2019,1,1/30/2019,55,Blue Line - O'Hare,O'Hare Airport,890,4041
2019,1,1/30/2019,185,Orange Line,Midway Airport,930,1036
2019,1,1/31/2019,55,Blue Line - O'Hare,O'Hare Airport,890,5916
2019,1,1/31/2019,185,Orange Line,Midway Airport,930,2446
2019,2,2/1/2019,55,Blue Line - O'Hare,O'Hare Airport,890,9674
2019,2,2/1/2019,185,Orange Line,Midway Airport,930,6904
2019,2,2/2/2019,55,Blue Line - O'Hare,O'Hare Airport,890,6968
2019,2,2/2/2019,185,Orange Line,Midway Airport,930,2867
2019,2,2/3/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8030
2019,2,2/3/2019,185,Orange Line,Midway Airport,930,2374
2019,2,2/4/2019,55,Blue Line - O'Hare,O'Hare Airport,890,10000
2019,2,2/4/2019,185,Orange Line,Midway Airport,930,8042
2019,2,2/5/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8212
2019,2,2/5/2019,185,Orange Line,Midway Airport,930,7707
2019,2,2/6/2019,55,Blue Line - O'Hare,O'Hare Airport,890,8794
